latitude,longitude,AGB
-9.57270084,-68.08310843,331.2555528
-9.645461332,-68.52348851,142.4600562
-9.785930912,-68.43220772,169.0687453
-10.55303908,-68.99369232,135.3310743
-10.43020845,-69.49744173,159.3352929
-10.58056371,-68.97504857,198.1996706
-10.45521116,-69.18295488,225.3045009
-9.999519444,-69.39508433,250.3449072
-9.965727745,-69.41997188,267.1661855
-10.44906279,-68.68215882,121.1436256
-9.727736708,-68.95253119,208.2475659
-9.828345798,-68.24942335,138.0143942
-9.829536052,-68.18351681,196.7111784
-10.4785846,-69.5828425,188.223628
-9.925298193,-68.3627493,261.0492447
-10.11867591,-68.94860241,98.79220755
-10.61854726,-69.01759467,205.1071545
-9.761475185,-68.45505284,182.7617525
-10.12711458,-69.28414685,215.7542627
-10.59988313,-68.99666897,143.8071646
-10.41900161,-69.08596684,186.0120461
-10.57020169,-68.94587227,227.1473654
-9.886188464,-68.25374747,275.0595922
-10.55533358,-69.26407169,186.7017538
-9.771489304,-68.19033461,185.197062
-9.810108192,-69.51738456,190.1970651
-10.01028135,-69.40400693,168.088221
-9.744349427,-68.17037699,40.95660562
-9.83632998,-69.53192312,170.6611311
-10.41512739,-69.15331747,246.6555926
-10.10004453,-69.48655218,128.9324984
-10.1207235,-69.26301821,268.5878208
-10.05033743,-69.34742081,115.9091756
-10.100371,-69.2993226,274.9211841
-9.649936242,-69.24336697,100.7832679
-9.811108118,-68.18423907,144.3516484
-9.831332227,-69.53560427,229.1049555
-10.2713939,-69.5182124,191.402994
-10.6773448,-68.70454367,287.789966
-10.3688826,-69.13988966,189.5064619
-10.07700519,-68.16195125,206.2250615
-10.48120003,-68.89457681,137.9140466
-10.37687521,-68.62893794,265.6071888
-10.64215105,-68.83216151,300.9719269
-10.07410833,-69.35704724,266.8276505
-9.914676613,-69.34261879,188.293828
-10.59032822,-69.6029616,182.9724847
-10.5513795,-69.24678435,262.2092093
-9.843951495,-68.26132642,191.2598147
-9.829039082,-69.15440135,226.4528688
-10.27640283,-69.49726108,136.8734021
-10.53520255,-69.32334097,203.9951116
-10.25759093,-68.498429,277.1020043
-10.05915936,-68.87670482,250.7465876
-10.58630134,-69.38183277,268.8284216
-10.05453821,-69.20025982,146.3604272
-10.45133244,-68.87954293,125.2140744
-9.874252772,-68.75487782,249.739298
-9.995327251,-68.82246241,321.2157292
-10.35230297,-68.66378657,321.1167511
-10.25718389,-68.08382238,109.1533241
-10.1828741,-69.31593633,116.7742617
-9.830129759,-68.45758142,175.4769492
-9.629571728,-69.26565979,188.311055
-9.682568567,-68.46200318,33.25668942
-10.20509102,-68.57586513,53.54535327
-10.37390548,-68.67243834,220.3676973
-10.04757833,-69.43321878,267.8131084
-9.954293422,-69.37158283,193.5815574
-10.41517497,-69.07853024,124.9170165
-10.24026231,-69.57516549,191.2767147
-9.765030581,-68.65325852,129.2879426
-10.03412281,-69.01083919,228.0167056
-9.965293175,-69.39203457,178.1228687
-9.953744233,-68.83399844,204.4461338
-10.36587312,-69.59672318,189.6186649
-10.13422337,-68.18094988,161.6543499
-10.68796312,-69.33359668,369.3175054
-10.63604988,-69.39697847,15.63473777
-10.65824201,-69.30462739,267.8123981
-10.43393796,-68.52456074,49.05519839
-9.93351385,-68.7769543,376.4650513
-10.22522943,-69.20081809,224.505013
-10.17008103,-69.25937942,125.6183536
-9.728409927,-68.43498877,15.5619191
-10.02516346,-69.44504107,207.3660448
-10.14606758,-68.49734576,168.8570948
-9.615780382,-69.27744138,153.1826355
-10.40210226,-69.5582976,111.6588074
-10.7456401,-68.84439657,117.099858
-10.36791041,-69.57663953,328.4723219
-9.86589662,-69.07553423,15.31619782
-9.89910549,-69.48576772,124.8792891
-10.49856297,-69.01012309,194.1888915
-10.73188598,-69.41333641,15.25073007
-10.04605037,-69.45387533,159.0348642
-9.592036604,-69.12049059,131.4467366
-10.59919617,-69.30311847,167.8834558
-9.8154646,-69.15796573,191.2409688
-9.86353732,-68.24691358,223.6779022
-10.08815964,-69.2769479,124.0940448
-9.988669964,-68.27148543,108.638637
-10.43141533,-69.06651969,186.3911646
-10.60294676,-69.39291506,339.8857983
-9.692869574,-68.18543413,323.7406229
-9.911141687,-68.25038214,130.2503424
-10.42983416,-69.07796465,297.7924673
-10.58033425,-68.8527995,194.0501257
-9.91635887,-69.45637078,372.5002017
-10.23623461,-69.3478963,206.4180468
-9.763225893,-69.59228847,40.54518249
-9.742629043,-68.42458279,300.2472814
-10.47839107,-69.19280372,391.1943753
-10.56406021,-69.2634693,27.4708792
-10.51404229,-69.55657826,135.9862014
-10.04094983,-68.11836012,84.13794864
-10.08468441,-68.39225657,181.6895225
-9.717738848,-68.94518057,149.6557779
-9.93254022,-68.79047638,394.1227825
-10.68162054,-69.46722723,263.5742577
-10.64657707,-68.81457498,208.4120056
-10.28200439,-69.59847724,169.1468195
-10.526933,-69.214407,222.75642
-10.57433742,-69.54656205,328.7903696
-10.07793437,-69.4625835,183.4299981
-10.7620908,-68.98752985,18.69452296
-10.58604447,-68.97940886,194.2486141
-10.34240611,-68.82097408,168.3352493
-10.07359312,-68.4297234,233.9252325
-10.02341311,-69.14796635,378.0300132
-10.5745005,-68.84847972,184.813981
-9.915593969,-69.36452612,200.458447
-10.1205807,-69.50876228,309.6324501
-9.631657805,-69.26413109,26.03135196
-9.804057485,-69.17275195,274.0654522
-9.811360021,-69.51646473,192.5392928
-9.549602015,-68.21633979,176.2287602
-10.37960803,-68.50606841,130.9990078
-10.15111556,-68.93719174,136.8639134
-9.848490275,-69.27229871,125.5538452
-10.43188013,-68.90078457,242.9135993
-10.00610846,-68.26862465,334.6289621
-10.52343832,-69.34231264,195.9940792
-10.20230025,-69.21775178,187.6911614
-10.4021917,-68.64099196,11.19538901
-10.69398838,-68.70216172,360.9994461
-10.12895165,-68.64914844,149.8637774
-9.868407212,-69.10807871,351.591235
-10.57874499,-69.28798181,151.5880536
-10.1591758,-68.97827872,158.8577244
-10.5684899,-68.80896749,125.3064476
-9.767002163,-69.05501585,204.4465471
-9.864618489,-69.06060615,252.783058
-10.04143749,-68.57042097,157.1628508
-10.40818939,-68.62384548,243.8416582
-9.884266838,-68.47627787,184.6511564
-10.13936954,-68.65681622,391.4768569
-10.03559568,-68.56612428,202.3167755
-10.50296179,-69.53096769,203.4614666
-10.09139364,-69.48729242,268.8416748
-9.974162731,-68.57055281,28.85975393
-9.99005895,-68.85369041,247.9439857
-9.786907678,-68.69780459,240.2424507
-10.25328124,-69.35373465,159.6199987
-10.59688436,-69.52989665,350.4141118
-10.06339402,-69.43028185,196.4005919
-10.07251156,-68.88653227,316.5526875
-10.25930089,-69.01687568,170.0113465
-9.660537014,-68.33313468,328.8070312
-9.601146941,-69.59755065,373.0320764
-10.10418489,-69.46026129,287.6991388
-10.19333634,-69.56241684,168.6798061
-10.47141331,-69.49030692,215.2051734
