latitude,longitude,AGB
-9.664259376,-68.15019682,25.83925011
-8.832393701,-72.21937573,205.890579
-8.242791856,-73.27366644,248.9486101
-9.774056182,-69.7598442,175.2753694
-9.355366903,-72.59369521,190.2119893
-8.11376882,-72.5589436,186.5662198
-8.735869386,-70.36389607,247.9239633
-9.114108657,-70.58508781,154.896089
-9.963896928,-68.5421813,259.3124183
-9.161388362,-70.56157439,166.101375
-9.291270404,-72.50031617,165.1636457
-9.462814288,-71.47523617,220.8500079
-9.765136781,-70.21030017,207.1636644
-9.1668136,-71.79863159,389.6920156
-9.756171416,-71.02577041,215.3084336
-10.86676453,-69.30667932,133.5014407
-9.392895195,-71.5541694,105.7866384
-9.020662649,-69.64434936,153.6855062
-10.56348401,-69.93330926,183.67594
-7.762508055,-72.17080979,169.7424415
-8.357119401,-70.20891891,188.3278146
-10.32123883,-68.58123933,279.9307945
-10.36560625,-68.59241965,187.0979297
-9.763572964,-70.18814452,158.3478017
-10.66279993,-68.8047623,133.2693666
-9.41523969,-69.49681679,17.3663893
-8.309018028,-71.26943038,329.2066028
-8.531323646,-69.30933948,29.76899102
-10.68995635,-69.93574294,132.3736401
-9.687726109,-69.19725622,232.1211111
-10.30281563,-69.39029824,280.2682216
-10.00497143,-67.5536308,223.2700023
-10.665952,-68.92696147,194.9247947
-10.56693739,-68.73371305,190.1753219
-8.796894056,-72.0292243,180.7589105
-10.57730412,-68.98707815,228.2768996
-7.879240984,-72.08630559,139.1271832
-8.465462581,-70.15035455,140.8193148
-10.20682483,-69.23240076,198.2802976
-8.403948111,-72.3317934,385.6212388
-8.683911073,-72.05038185,352.3637957
-8.64600185,-72.11558377,204.8566674
-8.07852495,-72.52100151,212.6938256
-9.965709906,-68.5290571,352.2475468
-8.782795716,-69.9057702,170.8617728
-9.524952656,-70.21498442,48.05394265
-8.198167519,-72.04502234,229.8413087
-8.418997152,-73.35234435,192.3532343
-9.786906505,-71.25873438,341.4986298
-9.094250681,-72.76759757,155.5091731
-9.837700428,-68.26592619,251.4155269
-7.654051687,-72.01788535,112.4689179
-8.818467356,-71.88196784,375.9862781
-10.43454874,-70.25291693,118.873033
-10.64833225,-69.9050477,221.9112866
-8.04321296,-71.09749311,145.692042
-8.472353115,-70.13901441,205.7054722
-8.559774148,-71.60951733,326.5036689
-10.40464445,-70.22440556,240.0889256
-9.942376144,-71.24629165,131.4682229
-9.43042236,-69.52151805,199.7791726
-8.990474713,-69.60778878,128.7140369
-7.84910147,-73.38870099,125.4762068
-10.14755212,-69.52149507,153.2889468
-8.991681208,-70.58596518,234.1264015
-8.539778614,-70.92699583,123.3843581
-10.46979,-67.91678676,39.69212715
-9.21486692,-69.80713176,201.2997564
-7.838814214,-71.51196373,196.8723965
-9.694624009,-68.19326005,14.47844937
-10.7453665,-70.53058207,132.5748554
-9.297381212,-69.42416251,27.28660365
-8.508397216,-71.66349947,261.844475
-9.227241015,-70.75789838,195.3850914
-10.183224,-69.80746471,190.5904966
-10.56682783,-69.93577657,234.0713166
-7.530705209,-73.91075239,330.7495822
-8.352134019,-71.19044097,214.8026882
-9.491566622,-70.32006762,219.1991179
-9.017394917,-70.43539662,278.1948095
-8.303644111,-71.52887746,286.4726542
-8.48002563,-70.49556574,17.53717488
-10.49241445,-69.78964427,132.1933301
-9.635767913,-71.37622923,280.5051282
-9.154686845,-71.7897535,213.3993727
-10.75803227,-68.9351461,195.7392406
-9.56619637,-68.59824018,204.6147482
-10.36700786,-67.8591897,273.2883842
-9.316055665,-72.94478676,175.5011399
-10.05598269,-68.89567499,121.1137973
-8.902708609,-69.53647147,87.73171172
-10.60937109,-68.9621701,200.7112659
-9.409807277,-69.81097134,39.48426937
-8.013486154,-71.31563513,241.6858798
-8.35267044,-71.30842065,182.9533822
-9.731277559,-69.88700992,187.1951396
-8.218740161,-72.39882763,145.6567007
-8.516599423,-71.60055869,242.8212849
-8.272893281,-69.91508953,152.7399499
-9.038020723,-68.84146135,176.5688604
-8.929416707,-69.05719237,167.7576289
-9.35467827,-70.68879428,121.5877966
-9.867471946,-72.09159968,137.2219942
-10.33348936,-68.60401241,232.0765651
-8.49764725,-73.23561507,229.2738491
-9.184249743,-70.55150546,186.2213743
-10.26416311,-70.35526483,190.3009734
-8.853591562,-71.65135468,322.1146629
-8.862095597,-70.35084283,108.7932827
-10.54417744,-70.29163912,180.4370072
-7.802574319,-71.44979812,238.5658956
-10.28542769,-70.29431233,127.084999
-10.98541163,-70.26752604,214.858324
-7.834417784,-70.94631686,130.1033717
-10.54177568,-70.33221389,132.1475043
-9.049398796,-69.22236055,37.27496896
-9.044227969,-68.81082132,190.7135275
-8.098831884,-71.91042306,374.6280396
-9.456658172,-70.23670158,260.9081784
-8.737205771,-71.44675857,260.5389537
-8.080945211,-73.51509006,204.7716197
-10.52495413,-69.25522224,189.2215519
-10.46548138,-69.62716586,158.3392696
-7.556207986,-73.16347111,182.7393817
-7.781100513,-71.5712262,344.309728
-8.65513619,-73.08092052,223.1328574
-8.224301813,-71.07790986,265.472832
-8.71219668,-70.21304815,313.1530762
-8.083687167,-70.41359717,207.4669229
-7.815697315,-72.71128811,14.61320515
-9.365972071,-68.37502329,268.8865565
-8.773658699,-71.48413634,393.3571235
-9.941351495,-67.66738742,132.1086065
-9.280830444,-68.76280507,13.68385275
-10.09812518,-68.42325261,112.8436199
-8.969674904,-71.31099687,238.1284918
-9.290968183,-72.61707842,164.3581609
-8.107296592,-71.93781664,316.0183615
-10.37874487,-69.83195223,172.7561561
-10.37911102,-70.27717784,308.5029138
-10.23133251,-67.42552493,37.03202849
-8.381602676,-71.13604455,260.8223083
-9.843195192,-69.27544636,119.9150061
