RH5,RH10,RH15,RH20,RH25,RH30,RH35,RH40,RH45,RH50,RH55,RH60,RH65,RH70,RH75,RH80,RH85,RH90,RH95,RH100,AGB
0,0,0,0,0,0,0,0,0.04,0.12,0.28,0.45,0.67,0.87,1.12,1.37,1.9,3.95,6.73,22.52,6.59362176
2.75,6.28,9.22,11.07,12.68,14.43,15.97,17.33,18.52,19.77,21.12,22.37,24.1,25.63,26.78,27.83,28.93,30.23,31.5,38.87,354.9153565
1.05,4.3,6.68,4.56,5.78,6.97,8.33,9.18,11.23,13.05,15.43,17.5,18.8,20.77,22.07,23.25,24.7,26.9,29.47,39.35,342.3489972
2.02,6.12,9.22,10.31,10.91,11.47,12.98,14.32,15.5,16.73,18.03,19.27,20.68,22.18,23.4,24.6,25.9,27.35,28.85,38,456.5821392
0.22,1.31,3.79,6.32,8.68,9.65,11.75,13.67,15.48,17.58,19.23,20.82,22.33,24.02,25.63,27.05,28.52,30.25,32.37,40.27,182.0905858
7.95,4.01,3.06,4.88,7.2,10.74,12.15,14.55,16.23,17.62,18.67,19.6,20.48,21.32,22.23,23.3,24.4,25.68,27.73,37.42,267.6599918
2.16,5.33,8.72,12.23,14.78,16.85,18.6,20.1,21.42,22.52,23.53,24.53,25.67,26.6,27.45,28.23,29.02,29.88,31.18,38.18,422.8863547
5.05,11.07,14.6,17.07,18.95,20.57,21.82,22.93,24.07,25.13,26,26.88,27.78,28.75,29.77,30.73,31.77,33.02,34.57,44.37,415.1937053
3.21,6.28,8.2,10.35,12.25,14.47,16.15,17.5,18.73,19.78,20.87,21.87,22.93,23.9,24.8,25.77,26.68,27.67,28.92,36.17,254.6702637
1.4,3.51,5.92,8.65,11.3,13.57,15.5,17.33,18.92,20.27,21.95,23.83,25.35,26.55,27.73,28.7,29.8,31,32.6,40.9,387.8477268
